ID_USER;TIME_STAMP;ORDER_STAGES
190605161944;16:20:28 05-06-19;1-2-4-3
190605162249;16:23:52 05-06-19;1-2-4-3
190606103627;10:37:18 06-06-19;1-2-4-3
190606114442;11:45:35 06-06-19;1-2-4-3
190606114925;11:49:55 06-06-19;1-2-4-3
190606120033;12:01:10 06-06-19;1-2-4-3
190606144809;14:57:48 06-06-19;4-1-3-2
190606145852;14:59:29 06-06-19;1-2-4-3
190606162536;16:39:51 06-06-19;1-2-4-3
190607111117;11:13:24 07-06-19;2-3-1-4
190607111447;11:15:34 07-06-19;2-3-1-4
190607120604;12:12:59 07-06-19;3-4-2-1
190607121535;12:16:56 07-06-19;3-4-2-1
190607125950;12:59:53 07-06-19;3-4-2-1
190607130029;13:00:49 07-06-19;3-4-2-1
190607130254;13:08:10 07-06-19;4-1-3-2
190607131435;13:15:36 07-06-19;4-1-3-2
190607132321;13:24:53 07-06-19;4-1-3-2
190607132717;13:28:07 07-06-19;4-1-3-2
190607140508;14:07:02 07-06-19;1-2-4-3
190607172743;17:30:29 07-06-19;1-2-4-3
190608142000;14:21:39 08-06-19;3-4-2-1
190608142526;14:26:09 08-06-19;3-4-2-1
190609122847;12:30:59 09-06-19;4-1-3-2
190609123138;12:32:15 09-06-19;4-1-3-2
190610102251;10:23:37 10-06-19;4-1-3-2
190610112334;11:24:17 10-06-19;4-1-3-2
190610112539;11:26:13 10-06-19;1-2-4-3
190610135621;13:58:08 10-06-19;2-3-1-4
190610164424;16:45:44 10-06-19;3-4-2-1
190610181931;18:20:38 10-06-19;3-4-2-1
190610182218;18:28:02 10-06-19;3-4-2-1
190611094826;09:49:01 11-06-19;3-4-2-1
190611094945;09:50:14 11-06-19;3-4-2-1
190611100915;10:10:57 11-06-19;1-2-4-3
190611110453;11:05:03 11-06-19;1-2-4-3
190611110518;11:05:38 11-06-19;1-2-4-3
190611124822;12:50:36 11-06-19;1-2-4-3
190611172217;17:24:56 11-06-19;1-2-4-3
190611184514;18:46:13 11-06-19;1-2-4-3
190611193444;19:35:53 11-06-19;2-3-1-4
190612124746;12:48:41 12-06-19;2-3-1-4
190612161647;16:23:13 12-06-19;4-1-3-2
190612163242;16:33:22 12-06-19;2-3-1-4
